STATEFIPS;STATE;ZIPCODE;NumofReturns;TotalIncome;Salaries;NumofRetwithDivis;Divis;NumofRetwithRE;Retax
36;NY;10533;3740.0000;1267874.0000;727353.0000;2130.0000;50553.0000;1040.0000;31642.0000
36;NY;10535;370.0000;26111.0001;19669.0000;70.0000;115.0000;40.0000;413.0000
36;NY;10536;5100.0000;1692140.0000;860905.0000;2890.0000;91724.0000;1500.0000;34207.0000
36;NY;10537;1280.0000;89668.0000;67876.0000;200.0000;714.0000;170.0000;1538.0000
36;NY;10538;8100.0000;4005816.0000;2040719.0000;5010.0000;163218.0000;2730.0000;80217.0000
36;NY;10541;13380.0000;1316851.0000;942393.0000;3960.0000;20810.0000;2270.0000;29827.0000
36;NY;10543;9990.0000;2183646.0000;1195191.0000;3820.0000;85061.0000;1880.0000;42218.0000
36;NY;10546;690.0000;181494.0000;93580.0000;370.0000;3308.0000;180.0000;3178.0000
36;NY;10547;3800.0000;349737.0000;258932.0000;990.0000;3552.0000;610.0000;6528.0000
36;NY;10548;1750.0000;156108.0000;109451.0000;500.0000;2624.0000;260.0000;2629.0000
36;NY;10549;8420.0000;1816933.0000;899354.0000;3360.0000;75738.0000;1630.0000;34306.0000
36;NY;10550;20620.0000;913140.0000;757643.0000;1030.0000;1547.0000;1020.0000;9562.0000
36;NY;10552;11290.0000;915709.0000;688328.0000;2250.0000;10993.0000;1570.0000;18111.0000
36;NY;10553;6160.0000;335681.0000;272478.0000;530.0000;734.0000;690.0000;7036.0000
36;NY;10560;2200.0000;454886.0000;243933.0000;940.0000;19221.0000;500.0000;9970.0000
36;NY;10562;16670.0000;1489099.0000;1004468.0000;4160.0000;43159.0000;2350.0000;30145.0000
36;NY;10566;13330.0000;804870.0000;591157.0000;2080.0000;7355.0000;1320.0000;10966.0000
36;NY;10567;10260.0000;1227092.0000;867216.0000;3630.0000;21661.0000;1990.0000;25747.0000
36;NY;10570;6080.0000;1268070.0000;761078.0000;3020.0000;43980.0000;1500.0000;29717.0000
36;NY;10573;19600.0000;2098288.0000;1410105.0000;4930.0000;57740.0000;2740.0000;46882.0000
36;NY;10576;2530.0000;821124.0000;464217.0000;1530.0000;35509.0000;880.0000;18723.0000
36;NY;10577;1450.0000;1010455.0000;322672.0000;950.0000;95802.0000;460.0000;19015.0000
36;NY;10578;430.0000;44160.0000;30034.0000;140.0000;801.0000;60.0000;750.0000
36;NY;10579;4550.0000;502898.0000;349551.0000;1470.0000;10564.0000;830.0000;10892.0000
36;NY;10580;8090.0000;5220398.0000;2517685.0000;5210.0000;269343.0000;2660.0000;95135.0000
36;NY;10583;18570.0000;9400656.0000;4437787.0000;11610.0000;507396.0000;6030.0000;183903.0000
36;NY;10588;1320.0000;127803.0000;87781.0000;450.0000;2294.0000;230.0000;2506.0000
36;NY;10589;4730.0000;648017.0000;331145.0000;2580.0000;25140.0000;1080.0000;11435.0000
36;NY;10590;3290.0000;663527.0000;409858.0000;1590.0000;20923.0000;900.0000;14555.0000
36;NY;10591;12290.0000;1705503.0000;1086706.0000;4000.0000;61250.0000;1890.0000;33086.0000
36;NY;10594;2650.0000;363327.0000;243043.0000;1040.0000;7194.0000;550.0000;9170.0000
36;NY;10595;3380.0000;457751.0000;316501.0000;1490.0000;11323.0000;700.0000;11092.0000
36;NY;10597;470.0000;216228.0002;114219.0000;280.0000;9703.0000;170.0000;4914.0000
36;NY;10598;14900.0000;1861093.0000;1284225.0000;5840.0000;38677.0000;3080.0000;41469.0000
36;NY;10601;6100.0000;1335463.0000;517120.0000;1770.0000;50372.0000;780.0000;10918.0000
36;NY;10603;10080.0000;896139.0000;652287.0000;2620.0000;13631.0000;1640.0000;17179.0000
36;NY;10604;5970.0000;908988.0000;540600.0000;1930.0000;23350.0000;960.0000;16861.0000
36;NY;10605;10180.0000;1625946.0000;979103.0000;4640.0000;66910.0000;2520.0000;37849.0000
36;NY;10606;9020.0000;821146.0000;552732.0000;1910.0000;16937.0000;960.0000;12016.0000
